Book Id,Title,Author,Author l-f,Additional Authors,ISBN,ISBN13,My Rating,Average Rating,Publisher,Binding,Number of Pages,Year Published,Original Publication Year,Date Read,Date Added,Bookshelves,Bookshelves with positions,Exclusive Shelf,My Review,Spoiler,Private Notes,Read Count,Owned Copies
43889,"Wizard's First Rule (Sword of Truth, #1)",Terry Goodkind,"Goodkind, Terry",,"=""0765346524""","=""9780765346520""",4,4.12,Tor Books,Mass Market Paperback,836,2003,1994,2009/01/01,2016/01/05,,,read,,,,1,0
253058,"Temple of the Winds (Sword of Truth, #4)",Terry Goodkind,"Goodkind, Terry","Dick Hill, Ferhan Ertürk","=""""","=""""",0,4.03,Brilliance Audio,Audio CD,822,2007,1997,2009/01/01,2016/01/05,,,read,,,,1,0
234184,"Stone of Tears (Sword of Truth, #2)",Terry Goodkind,"Goodkind, Terry",,"=""0312857063""","=""9780312857066""",3,4.11,Tor Books,Hardcover,703,1995,1995,2009/01/01,2016/01/05,,,read,,,,1,0
43892,"Blood of the Fold (Sword of Truth, #3)",Terry Goodkind,"Goodkind, Terry",,"=""0812551478""","=""9780812551471""",3,4.01,Tor Books,Mass Market Paperback,623,1997,1996,2009/01/01,2016/01/05,,,read,,,,1,0
25607494,Saturn Run,John Sandford,"Sandford, John",Ctein,"=""""","=""""",3,3.91,G.P. Putnam's Sons,ebook,496,2015,2015,2016/05/13,2016/01/01,,,read,"I enjoyed this book. I want to give it 3.5 stars, but definitely not 4. The science and the general thought experiment were fun. I've enjoyed mulling over the ramifications of it all. However, I found myself not really caring for any of the characters. Everyone was rather thin and I found myself not really caring for any of them. <br/><br/>I'm glad I read it though. ",,,1,0
8908,World War Z: An Oral History of the Zombie War,Max Brooks,"Brooks, Max",,"=""0307346609""","=""9780307346605""",4,4.02,Crown,Hardcover,342,2006,2006,2014/01/01,2015/02/11,,,read,"This book was surprising and I really enjoyed it. It's not your typical zombie action horror thriller fest. It's deliberate, thoughtful and engaging. It feels very real and is an intriguing thought experiment. ",,,1,0
22816087,Seveneves,Neal Stephenson,"Stephenson, Neal",,"=""""","=""""",4,4.00,William Morrow,Kindle Edition,872,2015,2015,2015/10/11,2015/08/30,,,read,,,,1,0
25360188,Between the World and Me (One World Essentials),Ta-Nehisi Coates,"Coates, Ta-Nehisi",,"=""0679645985""","=""9780679645986""",5,4.40,One World,Kindle Edition,176,2015,2015,2016/02/24,2015/08/30,,,read,<strong>Crushing</strong><br/><br/>The weight of this book is crushing. It is raw and scathing. It's full of love and tenderness. It's left my head spinning and my heart aching. ,,,1,0
5996631,"Foundation and Empire (Foundation, #2)",Isaac Asimov,"Asimov, Isaac",,"=""""","=""""",3,4.22,Spectra,ebook,320,2004,1952,2015/02/27,2015/02/04,,,read,,,,1,0
11,"The Hitchhiker’s Guide to the Galaxy (Hitchhiker's Guide to the Galaxy, #1)",Douglas Adams,"Adams, Douglas",,"=""""","=""""",5,4.22,Del Rey Books,Mass Market Paperback,216,2005,1979,,2014/06/15,,,read,,,,1,1
6584437,"A Clash of Kings (A Song of Ice and Fire, #2)",George R.R. Martin,"Martin, George R.R.",,"=""""","=""""",4,4.42,Bantam,Kindle Edition,1042,2003,1998,,2014/06/15,,,read,,,,1,0
6307964,"A Storm of Swords (A Song of Ice and Fire, #3)",George R.R. Martin,"Martin, George R.R.",,"=""""","=""""",4,4.55,Bantam,ebook,1178,2003,2000,,2014/06/15,,,read,,,,1,1
8130078,The Great Divorce,C.S. Lewis,"Lewis, C.S.",,"=""""","=""""",5,4.33,,Kindle Edition,164,,1946,,2014/06/15,favorites,favorites (#4),read,,,,1,0
10240738,"Hyperion (Hyperion Cantos, #1)",Dan Simmons,"Simmons, Dan",Gary Ruddell,"=""""","=""""",5,4.27,Spectra,ebook,483,2011,1989,,2014/06/15,,,read,,,,1,0
